Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
L3_Cd_0_rep1_1	L3_Cd_0_rep1_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	5000000.0	0.0	150.0	48.0	34.144670859704505	150.0	pass	pass	pass	fail	warn	pass	pass	fail	warn	warn
L3_Cd_0_rep1_2	L3_Cd_0_rep1_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	5000000.0	0.0	150.0	48.0	35.044130234363465	150.0	pass	pass	pass	fail	warn	pass	pass	fail	warn	warn
L3_Cd_0_rep1_trim_1	L3_Cd_0_rep1_trim_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4982616.0	0.0	31-150	47.0	34.13511171255338	146.89740008060022	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
L3_Cd_0_rep1_trim_2	L3_Cd_0_rep1_trim_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4982616.0	0.0	31-150	47.0	34.984891303423765	146.89740008060022	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
L3_Cd_0_rep2_1	L3_Cd_0_rep2_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	5000000.0	0.0	150.0	47.0	49.49647231052607	150.0	pass	pass	pass	fail	warn	pass	pass	fail	pass	warn
L3_Cd_0_rep2_2	L3_Cd_0_rep2_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	5000000.0	0.0	150.0	47.0	50.5959970134394	150.0	pass	pass	pass	fail	warn	pass	pass	warn	pass	warn
L3_Cd_0_rep2_trim_1	L3_Cd_0_rep2_trim_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4967142.0	0.0	31-150	47.0	49.49002701929558	147.33525033107568	pass	pass	pass	fail	warn	pass	warn	fail	pass	pass
L3_Cd_0_rep2_trim_2	L3_Cd_0_rep2_trim_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4967142.0	0.0	31-150	47.0	50.54035743633779	147.33525033107568	pass	pass	pass	fail	warn	pass	warn	warn	pass	pass
L3_Cd_0_rep3_1	L3_Cd_0_rep3_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	5000000.0	0.0	150.0	47.0	50.33658783435319	150.0	pass	pass	pass	fail	warn	pass	pass	warn	pass	warn
L3_Cd_0_rep3_2	L3_Cd_0_rep3_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	5000000.0	0.0	150.0	46.0	50.932358431982024	150.0	pass	pass	pass	fail	warn	pass	pass	warn	pass	warn
L3_Cd_0_rep3_trim_1	L3_Cd_0_rep3_trim_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4971401.0	0.0	31-150	46.0	50.352333126797376	146.68930247228096	pass	pass	pass	fail	warn	pass	warn	warn	pass	pass
L3_Cd_0_rep3_trim_2	L3_Cd_0_rep3_trim_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4971401.0	0.0	31-150	46.0	50.88935723886354	146.68930247228096	pass	pass	pass	fail	warn	pass	warn	warn	pass	pass
L3_Cd_20_rep1_1	L3_Cd_20_rep1_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	5000000.0	0.0	150.0	46.0	50.05545069755624	150.0	pass	pass	pass	fail	warn	pass	pass	warn	pass	pass
L3_Cd_20_rep1_2	L3_Cd_20_rep1_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	5000000.0	0.0	150.0	46.0	51.37018849723518	150.0	pass	pass	pass	fail	warn	pass	pass	warn	pass	pass
L3_Cd_20_rep1_trim_1	L3_Cd_20_rep1_trim_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4975482.0	0.0	31-150	46.0	50.04874928087357	148.03140841430036	pass	pass	pass	fail	warn	pass	warn	warn	pass	pass
L3_Cd_20_rep1_trim_2	L3_Cd_20_rep1_trim_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4975482.0	0.0	31-150	46.0	51.32732895225553	148.03140841430036	pass	pass	pass	fail	warn	pass	warn	warn	pass	pass
L3_Cd_20_rep2_1	L3_Cd_20_rep2_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	5000000.0	0.0	150.0	47.0	49.73669930238343	150.0	pass	pass	pass	fail	warn	pass	pass	fail	pass	warn
