Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
L3_Cd_0_rep1_1	65.8553291402955	48.0	150.0	20.0	5000000.0
L3_Cd_0_rep1_2	64.95586976563654	48.0	150.0	20.0	5000000.0
L3_Cd_0_rep1_trim_1	65.86095590163428	47.0	146.89740008060022	20.0	4982616.0
L3_Cd_0_rep1_trim_2	65.01510869657623	47.0	146.89740008060022	20.0	4982616.0
L3_Cd_0_rep2_1	50.50352768947393	47.0	150.0	20.0	5000000.0
L3_Cd_0_rep2_2	49.4040029865606	47.0	150.0	10.0	5000000.0
L3_Cd_0_rep2_trim_1	50.50997298070442	47.0	147.33525033107568	20.0	4967142.0
L3_Cd_0_rep2_trim_2	49.45964256366221	47.0	147.33525033107568	10.0	4967142.0
L3_Cd_0_rep3_1	49.66341216564681	47.0	150.0	10.0	5000000.0
L3_Cd_0_rep3_2	49.067641568017976	46.0	150.0	10.0	5000000.0
L3_Cd_0_rep3_trim_1	49.64667826782515	46.0	146.68930247228096	10.0	4971401.0
L3_Cd_0_rep3_trim_2	49.11459851816773	46.0	146.68930247228096	10.0	4971401.0
L3_Cd_20_rep1_1	49.94454930244376	46.0	150.0	10.0	5000000.0
L3_Cd_20_rep1_2	48.62981150276482	46.0	150.0	10.0	5000000.0
L3_Cd_20_rep1_trim_1	49.95125071912643	46.0	148.03140841430036	10.0	4975482.0
L3_Cd_20_rep1_trim_2	48.67267104774447	46.0	148.03140841430036	10.0	4975482.0
L3_Cd_20_rep2_1	50.26330069761657	47.0	150.0	20.0	5000000.0
L3_Cd_20_rep2_2	48.39831557346671	47.0	150.0	10.0	5000000.0
L3_Cd_20_rep2_trim_1	50.22791350015376	46.0	147.79870881584264	20.0	4966139.0
L3_Cd_20_rep2_trim_2	48.47791873794959	46.0	147.79870881584264	10.0	4966139.0
L3_Cd_20_rep3_1	51.33849812246248	47.0	150.0	20.0	5000000.0
L3_Cd_20_rep3_2	50.58026326657541	47.0	150.0	20.0	5000000.0
L3_Cd_20_rep3_trim_1	51.29161618522444	46.0	147.1834925743041	20.0	4985526.0
L3_Cd_20_rep3_trim_2	50.58741412885717	46.0	147.1834925743041	20.0	4985526.0
