Module	Section	Sample Name	Source
FastQC	all_sections	L3_Cd_20_rep2_2	/mnt/ecotox/GROUP-smbpk/smbpk/transcript_reads2DEGs_slurm/work/rawqc/L3_Cd_20_rep2_2_fastqc.zip
FastQC	all_sections	L3_Cd_0_rep3_1	/mnt/ecotox/GROUP-smbpk/smbpk/transcript_reads2DEGs_slurm/work/rawqc/L3_Cd_0_rep3_1_fastqc.zip
FastQC	all_sections	L3_Cd_20_rep2_1	/mnt/ecotox/GROUP-smbpk/smbpk/transcript_reads2DEGs_slurm/work/rawqc/L3_Cd_20_rep2_1_fastqc.zip
FastQC	all_sections	L3_Cd_0_rep2_1	/mnt/ecotox/GROUP-smbpk/smbpk/transcript_reads2DEGs_slurm/work/rawqc/L3_Cd_0_rep2_1_fastqc.zip
FastQC	all_sections	L3_Cd_20_rep3_1	/mnt/ecotox/GROUP-smbpk/smbpk/transcript_reads2DEGs_slurm/work/rawqc/L3_Cd_20_rep3_1_fastqc.zip
FastQC	all_sections	L3_Cd_0_rep1_1	/mnt/ecotox/GROUP-smbpk/smbpk/transcript_reads2DEGs_slurm/work/rawqc/L3_Cd_0_rep1_1_fastqc.zip
FastQC	all_sections	L3_Cd_20_rep1_1	/mnt/ecotox/GROUP-smbpk/smbpk/transcript_reads2DEGs_slurm/work/rawqc/L3_Cd_20_rep1_1_fastqc.zip
FastQC	all_sections	L3_Cd_0_rep3_2	/mnt/ecotox/GROUP-smbpk/smbpk/transcript_reads2DEGs_slurm/work/rawqc/L3_Cd_0_rep3_2_fastqc.zip
FastQC	all_sections	L3_Cd_20_rep1_2	/mnt/ecotox/GROUP-smbpk/smbpk/transcript_reads2DEGs_slurm/work/rawqc/L3_Cd_20_rep1_2_fastqc.zip
FastQC	all_sections	L3_Cd_0_rep2_2	/mnt/ecotox/GROUP-smbpk/smbpk/transcript_reads2DEGs_slurm/work/rawqc/L3_Cd_0_rep2_2_fastqc.zip
FastQC	all_sections	L3_Cd_20_rep3_2	/mnt/ecotox/GROUP-smbpk/smbpk/transcript_reads2DEGs_slurm/work/rawqc/L3_Cd_20_rep3_2_fastqc.zip
FastQC	all_sections	L3_Cd_0_rep1_2	/mnt/ecotox/GROUP-smbpk/smbpk/transcript_reads2DEGs_slurm/work/rawqc/L3_Cd_0_rep1_2_fastqc.zip
FastQC	all_sections	L3_Cd_20_rep2_trim_1	/mnt/ecotox/GROUP-smbpk/smbpk/transcript_reads2DEGs_slurm/work/trimqc/L3_Cd_20_rep2_trim_1_fastqc.zip
FastQC	all_sections	L3_Cd_0_rep3_trim_1	/mnt/ecotox/GROUP-smbpk/smbpk/transcript_reads2DEGs_slurm/work/trimqc/L3_Cd_0_rep3_trim_1_fastqc.zip
FastQC	all_sections	L3_Cd_20_rep1_trim_1	/mnt/ecotox/GROUP-smbpk/smbpk/transcript_reads2DEGs_slurm/work/trimqc/L3_Cd_20_rep1_trim_1_fastqc.zip
FastQC	all_sections	L3_Cd_0_rep2_trim_1	/mnt/ecotox/GROUP-smbpk/smbpk/transcript_reads2DEGs_slurm/work/trimqc/L3_Cd_0_rep2_trim_1_fastqc.zip
FastQC	all_sections	L3_Cd_20_rep1_trim_2	/mnt/ecotox/GROUP-smbpk/smbpk/transcript_reads2DEGs_slurm/work/trimqc/L3_Cd_20_rep1_trim_2_fastqc.zip
FastQC	all_sections	L3_Cd_0_rep3_trim_2	/mnt/ecotox/GROUP-smbpk/smbpk/transcript_reads2DEGs_slurm/work/trimqc/L3_Cd_0_rep3_trim_2_fastqc.zip
FastQC	all_sections	L3_Cd_20_rep3_trim_1	/mnt/ecotox/GROUP-smbpk/smbpk/transcript_reads2DEGs_slurm/work/trimqc/L3_Cd_20_rep3_trim_1_fastqc.zip
FastQC	all_sections	L3_Cd_20_rep2_trim_2	/mnt/ecotox/GROUP-smbpk/smbpk/transcript_reads2DEGs_slurm/work/trimqc/L3_Cd_20_rep2_trim_2_fastqc.zip
FastQC	all_sections	L3_Cd_0_rep1_trim_1	/mnt/ecotox/GROUP-smbpk/smbpk/transcript_reads2DEGs_slurm/work/trimqc/L3_Cd_0_rep1_trim_1_fastqc.zip
FastQC	all_sections	L3_Cd_20_rep3_trim_2	/mnt/ecotox/GROUP-smbpk/smbpk/transcript_reads2DEGs_slurm/work/trimqc/L3_Cd_20_rep3_trim_2_fastqc.zip
FastQC	all_sections	L3_Cd_0_rep2_trim_2	/mnt/ecotox/GROUP-smbpk/smbpk/transcript_reads2DEGs_slurm/work/trimqc/L3_Cd_0_rep2_trim_2_fastqc.zip
FastQC	all_sections	L3_Cd_0_rep1_trim_2	/mnt/ecotox/GROUP-smbpk/smbpk/transcript_reads2DEGs_slurm/work/trimqc/L3_Cd_0_rep1_trim_2_fastqc.zip
